Site,Total,cryo,phys,chem,bio,soc,PANGAEA,NPDC,GEM,NMDC,Other
Kongsfjorden,102,5,79,29,5,1,85,10,0,0,7
Isfjorden,110,4,97,17,3,2,98,4,0,2,6
Storfjorden,49,8,36,10,0,1,41,4,0,0,4
Young Sound,16,7,3,5,3,0,1,0,12,0,2
Qeqertarsuup Tunua,284,2,279,22,1,0,276,0,4,0,3
Nuup Kangerlua,458,7,443,36,4,0,445,0,9,0,4
Porsangerfjorden,243,2,239,3,1,0,196,0,0,42,4
