category,driver
cryo,glacier
cryo,runoff
cryo,sea ice
phys,light
phys,salinity
phys,sea temp
chem,carb
chem,nutrients
bio,biomass
bio,prim prod
bio,spp rich
soc,fisheries
soc,tourism
