/* DATA DESCRIPTION:
Citation:	International Hydrographic Organization, IHO; Sieger, Rainer (2012): Limits of oceans and seas in digitized, machine readable form. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.777975
Related to:	International Hydrographic Organization, IHO (1953): Limits of Oceans and Seas. International Hydrographic Organization, Special Publication No 23, 3rd Edition, IMP, Monégasque - Monte-Carlo, 45 pp, hdl:10013/epic.37175.d001
Other version:	KML file containing the polygons of Oceans and Seas (URI: hdl:10013/epic.37175.d016)
Coverage:	MEDIAN LATITUDE: 22.632368 * MEDIAN LONGITUDE: 42.076221 * SOUTH-BOUND LATITUDE: -78.920994 * WEST-BOUND LONGITUDE: -179.998993 * NORTH-BOUND LATITUDE: 90.000000 * EAST-BOUND LONGITUDE: 179.998993
Comment:	This dataset is the digitized version of the printed "Limits of Oceans and Seas" (IHO, 1953). The report describes the boundaries of 148 oceans and seas. The given positions were typed into a spreadsheet and were completed to a right ordered polygon by hand using Google Earth. The dataset consists of five columns. The first column contains the name of the ocean or sea, column 2 and 3 contain the position of each polygon point (latitude, longitude). Column 4 contains an area index, column 5 a polygon index. These two indices structurize the dataset.
	The other version link provides a Google Earth layer in KML format (zipped). This layer consists of all polygons and names of oceans or seas at area centroid position given in dataset doi:10.1594/PANGAEA.777976.
Parameter(s):	Name (Name) * COMMENT: of ocean or sea
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	Index (Index) * COMMENT: of ocean or sea
	Index (Index) * COMMENT: polygon position
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	7629 data points
*/
Name (of ocean or sea)	Latitude	Longitude	Index (of ocean or sea)	Index (polygon position)
Coral Sea	-29.03330	167.95000	260002035	15
Coral Sea	-30.00000	159.10001	260002035	16
Coral Sea	-30.00000	150.00000	260002035	17
Coral Sea	-18.00000	144.00000	260002035	18
Coral Sea	-11.00000	142.32900	260002035	19
Coral Sea	-10.68890	142.52901	260002035	20
Coral Sea	-10.31390	142.68300	260002035	21
Coral Sea	-9.37917	142.80000	260002035	22
Coral Sea	-9.10000	142.80000	260002035	23
Coral Sea	-8.00000	141.50000	260002035	24
Coral Sea	-6.05833	145.00000	260002035	25
Coral Sea	-9.00000	148.00000	260002035	26
Coral Sea	-10.63330	150.57100	260002035	27
Bismarck Sea	-2.96667	141.99600	260002034	1
Bismarck Sea	-1.71667	142.83299	260002034	2
Bismarck Sea	-1.45000	143.06700	260002034	3
Bismarck Sea	-1.31667	143.59200	260002034	4
Bismarck Sea	-1.08333	144.40800	260002034	5
Bismarck Sea	-1.90000	146.58299	260002034	6
Bismarck Sea	-1.95417	147.31700	260002034	7
Bismarck Sea	-1.96667	148.07100	260002034	8
Bismarck Sea	-2.51900	149.96400	260002034	9
Bismarck Sea	-2.67400	150.38400	260002034	10
Bismarck Sea	-2.76800	150.71100	260002034	11
Bismarck Sea	-2.75200	150.99100	260002034	12
Bismarck Sea	-3.34300	152.00000	260002034	13
Bismarck Sea	-4.00000	152.73500	260002034	14
Bismarck Sea	-4.20833	152.67799	260002034	15
Bismarck Sea	-4.32222	152.40401	260002034	16
Bismarck Sea	-5.00000	151.75000	260002034	17
Bismarck Sea	-5.65000	151.00000	260002034	18
Bismarck Sea	-5.65833	148.30800	260002034	19
Bismarck Sea	-5.64583	148.08800	260002034	20
Bismarck Sea	-5.82917	148.00000	260002034	21
Bismarck Sea	-6.05833	147.57100	260002034	22
Bismarck Sea	-6.05833	145.00000	260002034	23
Bismarck Sea	-2.96667	141.99600	260002034	24
Bellingshausen Sea	-69.00000	-67.26700	260002033	1
Bellingshausen Sea	-73.22530	-71.54530	260002033	2
Bellingshausen Sea	-74.02079	-81.96855	260002033	3
Bellingshausen Sea	-72.43755	-98.73823	260002033	4
Bellingshausen Sea	-68.00000	-98.70000	260002033	5
Bellingshausen Sea	-68.00000	-96.00000	260002033	6
Bellingshausen Sea	-68.00000	-94.00000	260002033	7
Bellingshausen Sea	-68.00000	-92.00000	260002033	8
Bellingshausen Sea	-68.00000	-90.00000	260002033	9
Bellingshausen Sea	-68.00000	-88.00000	260002033	10
Bellingshausen Sea	-68.00000	-86.00000	260002033	11
Bellingshausen Sea	-68.00000	-84.00000	260002033	12
Bellingshausen Sea	-68.00000	-82.00000	260002033	13
Bellingshausen Sea	-68.00000	-78.00000	260002033	14
Bellingshausen Sea	-68.00000	-76.00000	260002033	15
Bellingshausen Sea	-68.00000	-74.00000	260002033	16
Bellingshausen Sea	-68.00000	-72.00000	260002033	17
Bellingshausen Sea	-68.50000	-70.00000	260002033	18
Bellingshausen Sea	-69.00000	-67.26700	260002033	19
Bass Strait	-37.50420	149.97800	260002032	1
Bass Strait	-39.65000	148.00700	260002032	2
Bass Strait	-39.78330	148.00700	260002032	3
Bass Strait	-40.20420	148.33299	260002032	4
Bass Strait	-40.29170	148.33299	260002032	5
Bass Strait	-40.43750	148.48300	260002032	6
Bass Strait	-40.99170	148.34399	260002032	7
Bass Strait	-41.20000	146.50000	260002032	8
Bass Strait	-40.68190	144.68300	260002032	9
Bass Strait	-40.15670	143.92300	260002032	10
Bass Strait	-39.58330	143.95000	260002032	11
Bass Strait	-38.85830	143.50999	260002032	12
Bass Strait	-38.05315	144.36800	260002032	13
Bass Strait	-37.79831	144.93253	260002032	14
Bass Strait	-38.92772	146.39150	260002032	15
Bass Strait	-37.85030	147.76102	260002032	16
Bass Strait	-37.50420	149.97800	260002032	17
Amundsen Sea	-68.00000	-120.00000	260002031	1
Amundsen Sea	-68.00000	-118.00000	260002031	2
Amundsen Sea	-68.00000	-116.00000	260002031	3
Amundsen Sea	-68.00000	-114.00000	260002031	4
Amundsen Sea	-68.00000	-112.00000	260002031	5
Amundsen Sea	-68.00000	-100.00000	260002031	6
Amundsen Sea	-68.00000	-98.70000	260002031	7
Amundsen Sea	-72.43755	-98.73823	260002031	8
Amundsen Sea	-75.10000	-98.79000	260002031	9
Amundsen Sea	-75.10000	-120.00000	260002031	10
Amundsen Sea	-68.00000	-120.00000	260002031	11
Timor Sea	-10.94170	122.85000	260002029	1
Timor Sea	-10.43060	123.37200	260002029	2
Timor Sea	-10.35830	123.45700	260002029	3
Timor Sea	-9.00000	125.11900	260002029	4
Timor Sea	-8.39444	127.29700	260002029	5
Timor Sea	-8.21667	127.60000	260002029	6
Timor Sea	-8.27500	128.23300	260002029	7
Timor Sea	-8.21667	128.89999	260002029	8
Timor Sea	-8.33889	130.75600	260002029	9
Timor Sea	-11.30830	131.76700	260002029	10
Timor Sea	-12.00000	133.50000	260002029	11
Timor Sea	-14.05280	130.00000	260002029	12
Timor Sea	-14.05280	129.47900	260002029	13
Timor Sea	-13.90830	127.34200	260002029	14
Timor Sea	-13.73330	126.95800	260002029	15
Timor Sea	-10.94170	122.85000	260002029	16
Sunda Strait	-6.83889	105.24200	260002028	1
Sunda Strait	-5.92778	104.55600	260002028	2
Sunda Strait	-5.49159	104.51441	260002028	3
Sunda Strait	-5.43592	105.26862	260002028	4
Sunda Strait	-5.83611	105.77500	260002028	5
Sunda Strait	-5.87500	106.03900	260002028	6
Sunda Strait	-6.48180	105.83343	260002028	7
Sunda Strait	-6.83124	105.52112	260002028	8
Sunda Strait	-6.83889	105.24200	260002028	9
Sumba Strait	-8.31667	119.00800	260002027	1
Sumba Strait	-8.42778	119.86100	260002027	2
Sumba Strait	-8.86250	119.91100	260002027	3
Sumba Strait	-9.27500	119.94200	260002027	4
Sumba Strait	-9.42922	119.80861	260002027	5
Sumba Strait	-9.55000	118.93300	260002027	6
Sumba Strait	-8.89167	118.50000	260002027	7
Sumba Strait	-8.31667	119.00800	260002027	8
Sulu Sea	13.44580	120.30000	260002026	1
Sulu Sea	12.20830	121.24300	260002026	2
Sulu Sea	12.11940	121.35300	260002026	3
Sulu Sea	11.99720	121.56100	260002026	4
Sulu Sea	11.90000	121.88300	260002026	5
Sulu Sea	11.15830	123.10300	260002026	6
Sulu Sea	11.13330	123.12500	260002026	7
Sulu Sea	11.00280	123.19300	260002026	8
Sulu Sea	9.04167	123.01700	260002026	9
Sulu Sea	8.72639	123.37800	260002026	10
Sulu Sea	8.55866	123.44734	260002026	11
Sulu Sea	7.77422	122.40902	260002026	12
Sulu Sea	6.88889	122.10800	260002026	13
Sulu Sea	6.75000	122.07200	260002026	14
Sulu Sea	6.40833	121.95700	260002026	15
Sulu Sea	6.06667	121.45000	260002026	16
Sulu Sea	6.03333	121.40000	260002026	17
Sulu Sea	6.01111	121.39200	260002026	18
Sulu Sea	5.88056	121.07500	260002026	19
Sulu Sea	5.73333	120.90000	260002026	20
Sulu Sea	5.88056	121.07500	260002026	21
Sulu Sea	5.50000	120.45000	260002026	22
Sulu Sea	5.35000	120.17500	260002026	23
Sulu Sea	5.00833	119.74400	260002026	24
Sulu Sea	4.91389	119.45300	260002026	25
Sulu Sea	5.14444	119.21300	260002026	26
Sulu Sea	6.50633	116.70431	260002026	27
Sulu Sea	7.03333	116.74600	260002026	28
Sulu Sea	8.19444	116.98300	260002026	29
Sulu Sea	8.24722	117.08100	260002026	30
Sulu Sea	8.34167	117.17500	260002026	31
Sulu Sea	10.00000	118.94000	260002026	32
Sulu Sea	10.54000	119.50000	260002026	33
Sulu Sea	11.41670	119.50000	260002026	34
Sulu Sea	11.44580	119.49700	260002026	35
Sulu Sea	12.31110	119.86200	260002026	36
Sulu Sea	13.44580	120.30000	260002026	37
Sulawesi Sea	4.74167	125.48900	260002025	1
Sulawesi Sea	3.74167	125.45000	260002025	2
Sulawesi Sea	3.34167	125.61100	260002025	3
Sulawesi Sea	3.18333	125.51700	260002025	4
Sulawesi Sea	3.08333	125.50800	260002025	5
Sulawesi Sea	2.73333	125.38300	260002025	6
Sulawesi Sea	2.35000	125.41700	260002025	7
Sulawesi Sea	2.10000	125.36700	260002025	8
Sulawesi Sea	1.69167	125.17200	260002025	9
Sulawesi Sea	0.75000	124.35000	260002025	10
Sulawesi Sea	0.64700	123.06800	260002025	11
Sulawesi Sea	1.33056	120.81400	260002025	12
Sulawesi Sea	1.02500	118.99700	260002025	13
Sulawesi Sea	1.67086	117.59107	260002025	14
Sulawesi Sea	3.60321	116.89932	260002025	15
Sulawesi Sea	5.08534	118.00375	260002025	16
Sulawesi Sea	5.14444	119.21300	260002025	17
Sulawesi Sea	4.91389	119.45300	260002025	18
Sulawesi Sea	4.75000	119.50600	260002025	19
Sulawesi Sea	4.74167	125.48900	260002025	20
South China Sea	21.89580	120.85800	260002024	1
South China Sea	19.95560	122.14300	260002024	2
South China Sea	19.95560	122.14300	260002024	3
South China Sea	18.58330	122.13300	260002024	4
South China Sea	14.13330	120.57500	260002024	5
South China Sea	13.85000	120.07500	260002024	6
South China Sea	13.44580	120.30000	260002024	7
South China Sea	12.31110	119.86200	260002024	8
South China Sea	11.44580	119.49700	260002024	9
South China Sea	11.41670	119.50000	260002024	10
South China Sea	10.54000	119.50000	260002024	11
South China Sea	10.00000	118.94000	260002024	12
South China Sea	8.34167	117.17500	260002024	13
South China Sea	8.24722	117.08100	260002024	14
South China Sea	8.19444	116.98300	260002024	15
South China Sea	7.03333	116.74600	260002024	16
South China Sea	5.22655	116.05915	260002024	17
South China Sea	1.21922	111.43020	260002024	18
South China Sea	1.29762	110.03336	260002024	19
South China Sea	2.08333	109.63900	260002024	20
South China Sea	3.05000	108.85800	260002024	21
South China Sea	4.01111	108.42200	260002024	22
South China Sea	4.79722	108.02400	260002024	23
South China Sea	3.33056	105.95000	260002024	24
South China Sea	3.09167	105.58300	260002024	25
South China Sea	2.74167	105.38100	260002024	26
South China Sea	1.23056	104.56900	260002024	27
South China Sea	1.33056	104.40800	260002024	28
South China Sea	1.36944	104.28500	260002024	29
South China Sea	2.00000	103.50000	260002024	30
South China Sea	6.21667	102.22800	260002024	31
South China Sea	8.61111	104.72100	260002024	32
South China Sea	10.00000	105.60000	260002024	33
South China Sea	12.37850	108.79945	260002024	34
South China Sea	17.08330	107.12100	260002024	35
South China Sea	18.50000	108.69200	260002024	36
South China Sea	20.00830	109.71100	260002024	37
South China Sea	20.22500	109.92100	260002024	38
South China Sea	21.76888	110.40637	260002024	39
South China Sea	23.50000	116.50000	260002024	40
South China Sea	23.43060	116.94000	260002024	41
South China Sea	23.39310	117.12100	260002024	42
South China Sea	23.11000	117.32000	260002024	43
South China Sea	21.89580	120.85800	260002024	44
Singapore Strait	1.16528	103.38300	260002023	1
Singapore Strait	1.19028	103.35300	260002023	2
Singapore Strait	1.26500	103.51700	260002023	3
Singapore Strait	1.33333	103.63300	260002023	4
Singapore Strait	1.31667	104.05000	260002023	5
Singapore Strait	1.34306	104.13800	260002023	6
Singapore Strait	1.36944	104.28500	260002023	7
Singapore Strait	1.33056	104.40800	260002023	8
Singapore Strait	1.23056	104.56900	260002023	9
Singapore Strait	1.12700	104.56900	260002023	10
Singapore Strait	1.17600	104.32800	260002023	11
Singapore Strait	1.10972	103.79200	260002023	12
Singapore Strait	1.16528	103.38300	260002023	13
Seram Sea	-5.27778	133.14999	260002022	1
Seram Sea	-4.81000	131.74400	260002022	2
Seram Sea	-4.50000	131.66701	260002022	3
Seram Sea	-4.11667	131.31700	260002022	4
Seram Sea	-3.86667	130.84200	260002022	5
Seram Sea	-3.20000	130.00000	260002022	6
Seram Sea	-2.86111	128.16099	260002022	7
Seram Sea	-3.05278	126.70800	260002022	8
Seram Sea	-3.11389	126.09200	260002022	9
Seram Sea	-2.47222	126.04400	260002022	10
Seram Sea	-1.97222	125.91700	260002022	11
Seram Sea	-1.93889	125.91900	260002022	12
Seram Sea	-1.82222	126.48600	260002022	13
Seram Sea	-1.62222	127.38900	260002022	14
Seram Sea	-1.68611	128.15300	260002022	15
Seram Sea	-1.63333	128.33299	260002022	16
Seram Sea	-1.50833	128.63300	260002022	17
Seram Sea	-1.39167	128.91701	260002022	18
Seram Sea	-1.18333	129.83299	260002022	19
Seram Sea	-1.43333	130.93100	260002022	20
Seram Sea	-1.43333	132.30000	260002022	21
Seram Sea	-2.08333	132.02499	260002022	22
Seram Sea	-2.77500	131.93300	260002022	23
Seram Sea	-3.00000	132.80000	260002022	24
Seram Sea	-3.85833	133.44200	260002022	25
Seram Sea	-4.31111	133.62500	260002022	26
Seram Sea	-5.27778	133.14999	260002022	27
Sawu Sea	-9.27500	119.94200	260002021	1
Sawu Sea	-8.86250	119.91100	260002021	2
Sawu Sea	-8.73000	121.53600	260002021	3
Sawu Sea	-8.49000	122.94100	260002021	4
Sawu Sea	-8.31667	123.01900	260002021	5
Sawu Sea	-8.31667	123.02800	260002021	6
