meta_idx,date_accessed,Error,parent_doi,URL,citation
1446,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.949147,https://doi.org/10.1594/PANGAEA.949147,"Winkler, Peter (2022): Wet chemical surface ozone measurements during POLARSTERN cruise ARK-III/1 (PS07) in 1985. PANGAEA, https://doi.org/10.1594/PANGAEA.949147"
1447,2023-04-03,None,10.1594/PANGAEA.947492,https://doi.org/10.1594/PANGAEA.947492,"Zammit, Raymond (2022): Calcium carbonate from the Il-Blata section, Malta Island (S3). PANGAEA, https://doi.org/10.1594/PANGAEA.947492, In: Zammit, R (2022): Early Miocene intensification of the North African hydrological cycle: multi-proxy evidence from the shelf carbonates of Malta  - Geochemical data. PANGAEA, https://doi.org/10.1594/PANGAEA.947547"
1448,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.947547,https://doi.org/10.1594/PANGAEA.947471,"Zammit, Raymond (2022): Early Miocene intensification of the North African hydrological cycle: multi-proxy evidence from the shelf carbonates of Malta  - Geochemical data. PANGAEA, https://doi.org/10.1594/PANGAEA.947547"
1449,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.947547,https://doi.org/10.1594/PANGAEA.947476,"Zammit, Raymond (2022): Early Miocene intensification of the North African hydrological cycle: multi-proxy evidence from the shelf carbonates of Malta  - Geochemical data. PANGAEA, https://doi.org/10.1594/PANGAEA.947547"
1450,2023-04-03,None,10.1594/PANGAEA.947547,https://doi.org/10.1594/PANGAEA.947492,"Zammit, Raymond (2022): Early Miocene intensification of the North African hydrological cycle: multi-proxy evidence from the shelf carbonates of Malta  - Geochemical data. PANGAEA, https://doi.org/10.1594/PANGAEA.947547"
1451,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.947547,https://doi.org/10.1594/PANGAEA.947507,"Zammit, Raymond (2022): Early Miocene intensification of the North African hydrological cycle: multi-proxy evidence from the shelf carbonates of Malta  - Geochemical data. PANGAEA, https://doi.org/10.1594/PANGAEA.947547"
1452,2023-04-03,None,10.1594/PANGAEA.947547,https://doi.org/10.1594/PANGAEA.947535,"Zammit, Raymond (2022): Early Miocene intensification of the North African hydrological cycle: multi-proxy evidence from the shelf carbonates of Malta  - Geochemical data. PANGAEA, https://doi.org/10.1594/PANGAEA.947547"
1453,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.947547,https://doi.org/10.1594/PANGAEA.947546,"Zammit, Raymond (2022): Early Miocene intensification of the North African hydrological cycle: multi-proxy evidence from the shelf carbonates of Malta  - Geochemical data. PANGAEA, https://doi.org/10.1594/PANGAEA.947547"
1454,2023-04-03,None,10.1594/PANGAEA.809085,https://doi.org/10.1594/PANGAEA.809085,"den Ouden, M A G; Reijmer, Carleen H; Pohjola, Veijo A; van de Wal, Roderik S W; Oerlemans, Johannes; Boot, Wim (2010): (Table 4) GPS measured ice velocities at Nordenskiöldbreen glacier. PANGAEA, https://doi.org/10.1594/PANGAEA.809085, In supplement to: den Ouden, MAG et al. (2010): Stand-alone single-frequency GPS ice velocity observations on Nordenskiöldbreen, Svalbard. The Cryosphere, 4(4), 593-604, https://doi.org/10.5194/tc-4-593-2010"
1455,2023-04-03,None,10.1594/PANGAEA.809086,https://doi.org/10.1594/PANGAEA.809086,"den Ouden, M A G; Reijmer, Carleen H; Pohjola, Veijo A; van de Wal, Roderik S W; Oerlemans, Johannes; Boot, Wim (2010): (Table 5) Annual flow velocities at Nordenskiöldbreen glacier. PANGAEA, https://doi.org/10.1594/PANGAEA.809086, In supplement to: den Ouden, MAG et al. (2010): Stand-alone single-frequency GPS ice velocity observations on Nordenskiöldbreen, Svalbard. The Cryosphere, 4(4), 593-604, https://doi.org/10.5194/tc-4-593-2010"
1456,2023-04-03,None,10.1594/PANGAEA.809087,https://doi.org/10.1594/PANGAEA.809085,"den Ouden, M A G; Reijmer, Carleen H; Pohjola, Veijo A; van de Wal, Roderik S W; Oerlemans, Johannes; Boot, Wim (2010): Ice velocities of Nordenskiöldbreen glacier, Svalbard. PANGAEA, https://doi.org/10.1594/PANGAEA.809087, Supplement to: den Ouden, MAG et al. (2010): Stand-alone single-frequency GPS ice velocity observations on Nordenskiöldbreen, Svalbard. The Cryosphere, 4(4), 593-604, https://doi.org/10.5194/tc-4-593-2010"
1457,2023-04-03,None,10.1594/PANGAEA.809087,https://doi.org/10.1594/PANGAEA.809086,"den Ouden, M A G; Reijmer, Carleen H; Pohjola, Veijo A; van de Wal, Roderik S W; Oerlemans, Johannes; Boot, Wim (2010): Ice velocities of Nordenskiöldbreen glacier, Svalbard. PANGAEA, https://doi.org/10.1594/PANGAEA.809087, Supplement to: den Ouden, MAG et al. (2010): Stand-alone single-frequency GPS ice velocity observations on Nordenskiöldbreen, Svalbard. The Cryosphere, 4(4), 593-604, https://doi.org/10.5194/tc-4-593-2010"
1458,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.921932,https://doi.org/10.1594/PANGAEA.921932,"dos Santos Ferreira, Christian; Wintersteller, Paul; Gaide, Stefanie (2020): Multibeam bathymetry processed data (Kongsberg EM 122 entire dataset) of RV MARIA S. MERIAN during cruise MSM57/2. PANGAEA, https://doi.org/10.1594/PANGAEA.921932"
1459,2023-04-03,No data in DOI reference,10.1594/PANGAEA.922045,https://doi.org/10.1594/PANGAEA.922045,"dos Santos Ferreira, Christian; Wintersteller, Paul; Gaide, Stefanie (2020): Multibeam bathymetry processed data (Kongsberg EM 122 entire dataset) of RV MARIA S. MERIAN during cruise MSM68. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.922045 (dataset in review)"
1460,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.905599,https://doi.org/10.1594/PANGAEA.905599,"dos Santos Ferreira, Christian; Wintersteller, Paul; Schmager, Marten (2019): Gridded bathymetry from EM710 multibeam echosounder of RV HEINCKE cruise HE387 (Svalbard continental margin). PANGAEA, https://doi.org/10.1594/PANGAEA.905599"
1461,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.812038,https://doi.org/10.1594/PANGAEA.812038,"van Heuven, Steven; Hoppema, Mario; Jones, Elizabeth M (2014): Underway physical oceanography and carbon dioxide measurements during POLARSTERN cruise ARK-XXVI/2. Royal Netherlands Institute for Sea Research, Texel, PANGAEA, https://doi.org/10.1594/PANGAEA.812038, In supplement to: Bakker, Dorothee C E; Pfeil, Benjamin; Smith, Karl; Hankin, Steven; Olsen, Are; Alin, Simone R; Cosca, Catherine E; Harasawa, Sumiko; Kozyr, Alexander; Nojiri, Yukihiro; O'Brien, Kevin M; Schuster, Ute; Telszewski, Maciej; Tilbrook, Bronte; Wada, Chisato; Akl, John; Barbero, Leticia; Bates, Nicolas R; Boutin, Jacqueline; Bozec, Yann; Cai, Wei-Jun; Castle, Robert D; Chavez, Francisco P; Chen, Lei; Chierici, Melissa; Currie, Kim I; de Baar, Hein J W; Evans, Wiley; Feely, Richard A; Fransson, Agneta; Gao, Zhongyong; Hales, Burke; Hardman-Mountford, Nicolas J; Hoppema, Mario; Huang, Wei-Jen; Hunt, Christopher W; Huss, Betty; Ichikawa, Tadafumi; Johannessen, Truls; Jones, Elizabeth M; Jones, Steve D; Jutterstrøm, Sara; Kitidis, Vassilis; Körtzinger, Arne; Landschützer, Peter; Lauvset, Siv K; Lefèvre, Nathalie; Manke, Ansley; Mathis, Jeremy T; Merlivat, Liliane; Metzl, Nicolas; Murata, Akihiko; Newberger, Timothy; Omar, Abdirahman M; Ono, Tsuneo; Park, Geun-Ha; Paterson, Kristina; Pierrot, Denis; Ríos, Aida F; Sabine, Christopher L; Saito, Shu; Salisbury, Joe; Sarma, Vedula V S S; Schlitzer, Reiner; Sieger, Rainer; Skjelvan, Ingunn; Steinhoff, Tobias; Sullivan, Kevin; Sun, Heng; Sutton, Adrienne; Suzuki, Toru; Sweeney, Colm; Takahashi, Taro; Tjiputra, Jerry; Tsurushima, Nobuo; van Heuven, Steven; Vandemark, Doug; Vlahos, Penny; Wallace, Douglas WR; Wanninkhof, Rik; Watson, Andrew J (2014): An update to the Surface Ocean CO2 Atlas (SOCAT version 2). Earth System Science Data, 6(1), 69-90, https://doi.org/10.5194/essd-6-69-2014"
1462,2023-04-03,None,10.1594/PANGAEA.849842,https://doi.org/10.1594/PANGAEA.849842,"van Heuven, Steven; Hoppema, Mario; Jones, Elizabeth M (2016): Underway physical oceanography and carbon dioxide measurements during POLARSTERN cruise ARK-XXIII/1. Royal Netherlands Institute for Sea Research, Texel, PANGAEA, https://doi.org/10.1594/PANGAEA.849842, In supplement to: Bakker, Dorothee C E; Pfeil, Benjamin; Landa, Camilla S; Metzl, Nicolas; O'Brien, Kevin M; Olsen, Are; Smith, Karl; Cosca, Catherine E; Harasawa, Sumiko; Jones, Steve D; Nakaoka, Shin-Ichiro; Nojiri, Yukihiro; Schuster, Ute; Steinhoff, Tobias; Sweeney, Colm; Takahashi, Taro; Tilbrook, Bronte; Wada, Chisato; Wanninkhof, Rik; Alin, Simone R; Balestrini, Carlos F; Barbero, Leticia; Bates, Nicolas R; Bianchi, Alejandro A; Bonou, Frédéric Kpédonou; Boutin, Jacqueline; Bozec, Yann; Burger, Eugene; Cai, Wei-Jun; Castle, Robert D; Chen, Liqi; Chierici, Melissa; Currie, Kim I; Evans, Wiley; Featherstone, Charles; Feely, Richard A; Fransson, Agneta; Goyet, Catherine; Greenwood, Naomi; Gregor, Luke; Hankin, Steven; Hardman-Mountford, Nicolas J; Harlay, Jérôme; Hauck, Judith; Hoppema, Mario; Humphreys, Matthew P; Hunt, Christopher W; Huss, Betty; Ibánhez, J Severino P; Johannessen, Truls; Keeling, Ralph F; Kitidis, Vassilis; Körtzinger, Arne; Kozyr, Alexander; Krasakopoulou, Evangelia; Kuwata, Akira; Landschützer, Peter; Lauvset, Siv K; Lefèvre, Nathalie; Lo Monaco, Claire; Manke, Ansley; Mathis, Jeremy T; Merlivat, Liliane; Millero, Frank J; Monteiro, Pedro M S; Munro, David R; Murata, Akihiko; Newberger, Timothy; Omar, Abdirahman M; Ono, Tsuneo; Paterson, Kristina; Pearce, David J; Pierrot, Denis; Robbins, Lisa L; Saito, Shu; Salisbury, Joe; Schlitzer, Reiner; Schneider, Bernd; Schweitzer, Roland; Sieger, Rainer; Skjelvan, Ingunn; Sullivan, Kevin; Sutherland, Stewart C; Sutton, Adrienne; Tadokoro, Kazuaki; Telszewski, Maciej; Tuma, Matthias; van Heuven, Steven; Vandemark, Doug; Ward, Brian; Watson, Andrew J; Xu, Suqing (2016): A multi-decade record of high-quality fCO2 data in version 3 of the Surface Ocean CO2 Atlas (SOCAT). Earth System Science Data, 8(2), 383-413, https://doi.org/10.5194/essd-8-383-2016"
1463,2023-04-03,Spatial data not in any site bbox,10.1594/PANGAEA.849855,https://doi.org/10.1594/PANGAEA.849855,"van Heuven, Steven; Hoppema, Mario; Jones, Elizabeth M (2016): Underway physical oceanography and carbon dioxide measurements during POLARSTERN cruise ARK-XXVI/1. Royal Netherlands Institute for Sea Research, Texel, PANGAEA, https://doi.org/10.1594/PANGAEA.849855, In supplement to: Bakker, Dorothee C E; Pfeil, Benjamin; Landa, Camilla S; Metzl, Nicolas; O'Brien, Kevin M; Olsen, Are; Smith, Karl; Cosca, Catherine E; Harasawa, Sumiko; Jones, Steve D; Nakaoka, Shin-Ichiro; Nojiri, Yukihiro; Schuster, Ute; Steinhoff, Tobias; Sweeney, Colm; Takahashi, Taro; Tilbrook, Bronte; Wada, Chisato; Wanninkhof, Rik; Alin, Simone R; Balestrini, Carlos F; Barbero, Leticia; Bates, Nicolas R; Bianchi, Alejandro A; Bonou, Frédéric Kpédonou; Boutin, Jacqueline; Bozec, Yann; Burger, Eugene; Cai, Wei-Jun; Castle, Robert D; Chen, Liqi; Chierici, Melissa; Currie, Kim I; Evans, Wiley; Featherstone, Charles; Feely, Richard A; Fransson, Agneta; Goyet, Catherine; Greenwood, Naomi; Gregor, Luke; Hankin, Steven; Hardman-Mountford, Nicolas J; Harlay, Jérôme; Hauck, Judith; Hoppema, Mario; Humphreys, Matthew P; Hunt, Christopher W; Huss, Betty; Ibánhez, J Severino P; Johannessen, Truls; Keeling, Ralph F; Kitidis, Vassilis; Körtzinger, Arne; Kozyr, Alexander; Krasakopoulou, Evangelia; Kuwata, Akira; Landschützer, Peter; Lauvset, Siv K; Lefèvre, Nathalie; Lo Monaco, Claire; Manke, Ansley; Mathis, Jeremy T; Merlivat, Liliane; Millero, Frank J; Monteiro, Pedro M S; Munro, David R; Murata, Akihiko; Newberger, Timothy; Omar, Abdirahman M; Ono, Tsuneo; Paterson, Kristina; Pearce, David J; Pierrot, Denis; Robbins, Lisa L; Saito, Shu; Salisbury, Joe; Schlitzer, Reiner; Schneider, Bernd; Schweitzer, Roland; Sieger, Rainer; Skjelvan, Ingunn; Sullivan, Kevin; Sutherland, Stewart C; Sutton, Adrienne; Tadokoro, Kazuaki; Telszewski, Maciej; Tuma, Matthias; van Heuven, Steven; Vandemark, Doug; Ward, Brian; Watson, Andrew J; Xu, Suqing (2016): A multi-decade record of high-quality fCO2 data in version 3 of the Surface Ocean CO2 Atlas (SOCAT). Earth System Science Data, 8(2), 383-413, https://doi.org/10.5194/essd-8-383-2016"
