meta_idx,date_accessed,Error,parent_doi,URL,citation,meta_cols,removed_cols
1,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.772489,https://doi.org/10.1594/PANGAEA.772489,"Anonymous (2001): Hydrochemistry measured on water bottle samples during cruise SEVER30. PANGAEA, https://doi.org/10.1594/PANGAEA.772489, In: Nikiforov, Sergey L; Colony, Roger; Timokhov, Leonid (2001): Hydrochemical Atlas of the Arctic Ocean. Arctic and Antarctic Research Institute of the Russian Federal Service for Hydrometeorology and Environmental Monitoring, International Arctic Research Center, University of Alaska, Fairbanks, St. Petersburg, PANGAEA, https://doi.org/10.1594/PANGAEA.691332",NA,NA
2,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.675509,https://doi.org/10.1594/PANGAEA.675509,"Augstein, Ernst; Rohardt, Gerd (2008): Continuous thermosalinograph oceanography along POLARSTERN cruise track ARK-XII. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.675509",NA,NA
3,2024-02-06,No data in DOI reference,10.1594/PANGAEA.907273,https://doi.org/10.1594/PANGAEA.907270,"Bajnai, David; Fiebig, Jens; Price, Gregory D (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes. PANGAEA, https://doi.org/10.1594/PANGAEA.907273",NA,NA
4,2024-02-06,No columns with data,10.1594/PANGAEA.907273,https://doi.org/10.1594/PANGAEA.907257,"Bajnai, David; Fiebig, Jens; Price, Gregory D (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes. PANGAEA, https://doi.org/10.1594/PANGAEA.907273",NA,NA
5,2024-02-06,No columns with data,10.1594/PANGAEA.907257,https://doi.org/10.1594/PANGAEA.907257,"Bajnai, David; Fiebig, Jens; Price, Gregory D (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes, data sheet. PANGAEA, https://doi.org/10.1594/PANGAEA.907257, In: Bajnai, D et al. (2019): Clumped isotope measurements of Early Cretaceous belemnites across latitudes. PANGAEA, https://doi.org/10.1594/PANGAEA.907273",NA,NA
6,2024-02-06,No columns with data,10.1594/PANGAEA.901825,https://doi.org/10.1594/PANGAEA.901825,"Baranowski, Ulrike Katharina (2019): Test-size diameters of 36 extant planktonic foraminiferal species, global oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.901825, Supplement to: Baranowski, UK (2013): Phylogenetic significance of test morphology and ultrastructure in recent planktonic Foraminifera inferred from cladistic analyses. Eberhard Karls University Tübingen, 1-99",NA,NA
7,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.787102,https://doi.org/10.1594/PANGAEA.787102,"Barke, Judith; van der Burgh, Johan; van Konijnenburg-van Cittert, Johanna H A; Collinson, Margaret E; Pearce, Martin A; Bujak, Jonathan; Heilmann-Clausen, Claus; Speelman, Eveline N; van Kempen, Monique M L; Reichart, Gert-Jan; Lotter, André F; Brinkhuis, Henk (2012): (Table 3) Relative abundance of Azolla spp., peridinoid dinocysts, gonyaulacoid dinocysts, non-saccate pollen, bisaccate pollen and spores from the Lomonosov Ridge during different Arctic coring expeditions. PANGAEA, https://doi.org/10.1594/PANGAEA.787102, In supplement to: Barke, J et al. (2012): Coeval Eocene blooms of the freshwater fern Azolla in and around Arctic and Nordic seas. Palaeogeography, Palaeoclimatology, Palaeoecology, 337-338, 108-119, https://doi.org/10.1016/j.palaeo.2012.04.002",NA,NA
8,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.787105,https://doi.org/10.1594/PANGAEA.787102,"Barke, Judith; van der Burgh, Johan; van Konijnenburg-van Cittert, Johanna H A; Collinson, Margaret E; Pearce, Martin A; Bujak, Jonathan; Heilmann-Clausen, Claus; Speelman, Eveline N; van Kempen, Monique M L; Reichart, Gert-Jan; Lotter, André F; Brinkhuis, Henk (2012): Freshwater fern Azolla in and around Arctic and Nordic seas. PANGAEA, https://doi.org/10.1594/PANGAEA.787105, Supplement to: Barke, J et al. (2012): Coeval Eocene blooms of the freshwater fern Azolla in and around Arctic and Nordic seas. Palaeogeography, Palaeoclimatology, Palaeoecology, 337-338, 108-119, https://doi.org/10.1016/j.palaeo.2012.04.002",NA,NA
9,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.787105,https://doi.org/10.1594/PANGAEA.787096,"Barke, Judith; van der Burgh, Johan; van Konijnenburg-van Cittert, Johanna H A; Collinson, Margaret E; Pearce, Martin A; Bujak, Jonathan; Heilmann-Clausen, Claus; Speelman, Eveline N; van Kempen, Monique M L; Reichart, Gert-Jan; Lotter, André F; Brinkhuis, Henk (2012): Freshwater fern Azolla in and around Arctic and Nordic seas. PANGAEA, https://doi.org/10.1594/PANGAEA.787105, Supplement to: Barke, J et al. (2012): Coeval Eocene blooms of the freshwater fern Azolla in and around Arctic and Nordic seas. Palaeogeography, Palaeoclimatology, Palaeoecology, 337-338, 108-119, https://doi.org/10.1016/j.palaeo.2012.04.002",NA,NA
10,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.775207,https://doi.org/10.1594/PANGAEA.775207,"Baturin, Gleb N (1975): (Table 36) Chemical and radiochemical compositions of Fe-Mn nodules from seas and oceans. P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences, Moscow, PANGAEA, https://doi.org/10.1594/PANGAEA.775207, In supplement to: Baturin, GN (1975): Uran v Sovremennom Morskom Osadkoobrazovanii (Uranium in recent marine sedimentation). Atomizdat (Moscow), 152 pp",NA,NA
11,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85209,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995",NA,NA
12,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85202,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995",NA,NA
13,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85201,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995",NA,NA
14,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.85190,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995",NA,NA
15,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.56145,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995",NA,NA
16,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.761145,https://doi.org/10.1594/PANGAEA.56144,"Bauch, Dorothea (1995): Physical and chemical oceanography in the Arctic Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.761145, Supplement to: Bauch, D (1995): The distribution of d18O in the Arctic Ocean: implications for the freshwater balance of the halocline and the sources of deep and bottom waters (Die Verteilung von d18O im Arktischen Ozean: Implikationen für die Süßwasserbilanz der Halokline und die Quellen des Tiefen- und Bodenwassers). Berichte zur Polarforschung = Reports on Polar Research, 159, 144 pp, https://doi.org/10.2312/BzP_0159_1995",NA,NA
17,2024-02-06,No data in DOI reference,10.1594/PANGAEA.870922,https://doi.org/10.1594/PANGAEA.870918,"Bilal, Muhammad; Nazeer, Majid; Nichol, Janet E; Wong, Man Sing; Bleiweiss, Max (2017): Average surface color reflectance of water surfaces after application of Atmospheric Correction (SiTAC). PANGAEA, https://doi.org/10.1594/PANGAEA.870922",NA,NA
18,2024-02-06,No data in DOI reference,10.1594/PANGAEA.870922,https://doi.org/10.1594/PANGAEA.870919,"Bilal, Muhammad; Nazeer, Majid; Nichol, Janet E; Wong, Man Sing; Bleiweiss, Max (2017): Average surface color reflectance of water surfaces after application of Atmospheric Correction (SiTAC). PANGAEA, https://doi.org/10.1594/PANGAEA.870922",NA,NA
19,2024-02-06,No data in DOI reference,10.1594/PANGAEA.870922,https://doi.org/10.1594/PANGAEA.870920,"Bilal, Muhammad; Nazeer, Majid; Nichol, Janet E; Wong, Man Sing; Bleiweiss, Max (2017): Average surface color reflectance of water surfaces after application of Atmospheric Correction (SiTAC). PANGAEA, https://doi.org/10.1594/PANGAEA.870922",NA,NA
20,2024-02-06,No data in DOI reference,10.1594/PANGAEA.870922,https://doi.org/10.1594/PANGAEA.870921,"Bilal, Muhammad; Nazeer, Majid; Nichol, Janet E; Wong, Man Sing; Bleiweiss, Max (2017): Average surface color reflectance of water surfaces after application of Atmospheric Correction (SiTAC). PANGAEA, https://doi.org/10.1594/PANGAEA.870922",NA,NA
21,2024-02-06,No data in DOI reference,10.1594/PANGAEA.778246,https://doi.org/10.1594/PANGAEA.778246,"Boetius, Antje: Litter sightings along ROV dive-transects at three European cold-seep sites (Håkon Mosby Mud Volcano, Amon Mud Volcano and Amsterdam Mud Volcano) from expeditions ARK-XXIV/2, MSM13/3 and MSM13/4. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.778246 (unpublished dataset)",NA,NA
22,2024-02-06,No columns with data,10.1594/PANGAEA.796209,https://doi.org/10.1594/PANGAEA.796209,"Boetius, Antje; ARK-XXVII/3 Shipboard Scientific Party (2013): Track of POLARSTERN cruise ARK-XXVII/3 (IceArc) with links to navigation files in 1 and 10 sec interval. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.796209, In supplement to: Boetius, Antje; Albrecht, Sebastian; Bakker, Karel; Bienhold, Christina; Felden, Janine; Fernández-Méndez, Mar; Hendricks, Stefan; Katlein, Christian; Lalande, Catherine; Krumpen, Thomas; Nicolaus, Marcel; Peeken, Ilka; Rabe, Benjamin; Rogacheva, Antonina; Rybakova, Elena; Somavilla Cabrillo, Raquel; Wenzhöfer, Frank; ARK-XXVII/3 Shipboard Scientific Party (2013): Export of algal biomass from the melting Arctic sea ice. Science, 339(6126), 1430-1432, https://doi.org/10.1126/science.1231346",NA,NA
23,2024-02-06,Cannot access data via pangaer,10.1594/PANGAEA.803293,https://doi.org/10.1594/PANGAEA.803293,NA,NA,NA
24,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.808835,https://doi.org/10.1594/PANGAEA.808835,"Boetius, Antje; Rohardt, Gerd (2013): Continuous thermosalinograph oceanography along POLARSTERN cruise track ARK-XXVII/3. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.808835",NA,NA
25,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.873145,https://doi.org/10.1594/PANGAEA.873145,"Boetius, Antje; Rohardt, Gerd (2017): Continuous thermosalinograph oceanography along POLARSTERN cruise track PS101 (ARK-XXX/3). Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.873145",NA,NA
26,2024-02-06,None,10.1594/PANGAEA.899284,https://doi.org/10.1594/PANGAEA.899284,"Bracher, Astrid (2019): Phytoplankton pigment concentration and phytoplankton groups measured on water samples obtained during POLARSTERN cruise PS106 in the Arctic Ocean. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.899284",Longitude; Latitude; Date/Time; Depth water [m],Event; Sample ID; Campaign; Station; Gear; Perid [µg/l]; Phide a [µg/l]; But-fuco [µg/l]; Fuco [µg/l]; Hex-fuco [µg/l]; Allo [µg/l]; Zea [µg/l]; Phytin a [µg/l]; LONGITUDE; LATITUDE; DATE/TIME; DEPTH
27,2024-02-06,No data in DOI reference,10.1594/PANGAEA.208087,https://doi.org/10.1594/PANGAEA.208087,"Browicz, Kazimierz; Traiser, Christopher: Chorology of 15 extant species of Acer in south-west Asia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.208087 (unpublished dataset)",NA,NA
28,2024-02-06,No columns with data,10.1594/PANGAEA.951424,https://doi.org/10.1594/PANGAEA.951424,"Brunello, Camilla F; Werner, Martin; Meyer, Hanno; Mellat, Moein; Bonne, Jean-Louis (2022): Continuous near-surface atmospheric water vapour isotopic composition from Polarstern cruise PS122-1 (MOSAiC). PANGAEA, https://doi.org/10.1594/PANGAEA.951424",NA,NA
29,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952913,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
30,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952932,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
31,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952679,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
32,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952758,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
33,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952920,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
34,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952665,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
35,2024-02-06,Multiple columns with same name,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952911,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
36,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.954834,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
37,2024-02-06,Multiple columns with same name,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952452,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
38,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.951801,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
39,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952502,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
40,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952428,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
41,2024-02-06,Multiple columns with same name,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952522,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
42,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952433,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
43,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952662,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
44,2024-02-06,No columns with data,10.1594/PANGAEA.952939,https://doi.org/10.1594/PANGAEA.952445,"Bruni, Elena T; Blattmann, Thomas Michael; Haghipour, Negar; Louw, Deon C; Mark, Lever; Eglinton, Timothy Ian (2022): Sedimentary hydrodynamic processes under low-oxygen conditions: implications for past, present, and future oceans. PANGAEA, https://doi.org/10.1594/PANGAEA.952939",NA,NA
45,2024-02-06,No columns with data,10.1594/PANGAEA.924569,https://doi.org/10.1594/PANGAEA.924569,"Burkhardt, Elke (2020): Whale sightings during POLARSTERN cruise PS115/2. PANGAEA, https://doi.org/10.1594/PANGAEA.924569",NA,NA
46,2024-02-06,No columns with data,10.1594/PANGAEA.924704,https://doi.org/10.1594/PANGAEA.924704,"Burkhardt, Elke (2020): Whale sightings during POLARSTERN cruise PS94 (ARK-XXIX/3). PANGAEA, https://doi.org/10.1594/PANGAEA.924704",NA,NA
47,2024-02-06,None,10.1594/PANGAEA.904171,https://doi.org/10.1594/PANGAEA.904170,"Cantoni, Carolina; Hopwood, Mark James; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2019): Hydrological, biogeochemical and carbonate system data in coastal waters and in glacier drainage systems in Kongsfjorden (Svalbard), during July-August 2016. PANGAEA, https://doi.org/10.1594/PANGAEA.904171, Supplement to: Cantoni, Carolina; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2020): Glacial drivers of marine biogeochemistry indicate a future shift to more corrosive conditions in an Arctic fjord. Journal of Geophysical Research: Biogeosciences, https://doi.org/10.1029/2020JG005633",Longitude; Latitude; Date/time start; Depth water [m],Sample label (Survey); Sample label (area of sampling); Date/time end; O2 [µmol/l] (Winkler titration (Parsons et...); O2 sat [%] (Winkler titration (Parsons et...); DIC [µmol/kg] (Acidification and FTIR)
48,2024-02-06,None,10.1594/PANGAEA.904171,https://doi.org/10.1594/PANGAEA.904145,"Cantoni, Carolina; Hopwood, Mark James; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2019): Hydrological, biogeochemical and carbonate system data in coastal waters and in glacier drainage systems in Kongsfjorden (Svalbard), during July-August 2016. PANGAEA, https://doi.org/10.1594/PANGAEA.904171, Supplement to: Cantoni, Carolina; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2020): Glacial drivers of marine biogeochemistry indicate a future shift to more corrosive conditions in an Arctic fjord. Journal of Geophysical Research: Biogeosciences, https://doi.org/10.1029/2020JG005633",Longitude; Latitude; Date/Time; Depth water [m],Event; Elevation [m]; Press [dbar]; Cond [mS/cm]; Density [kg/m**3]; Sigma-theta [kg/m**3]; O2 [µmol/l]; O2 sat [%]; DOC [µmol/l]; TDN [µmol/l]; DIC [µmol/kg]; Mn D [nmol/l]; Fe dissolvable [nmol/l]; LONGITUDE; LATITUDE; DATE/TIME; DEPTH
49,2024-02-06,None,10.1594/PANGAEA.904171,https://doi.org/10.1594/PANGAEA.924281,"Cantoni, Carolina; Hopwood, Mark James; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2019): Hydrological, biogeochemical and carbonate system data in coastal waters and in glacier drainage systems in Kongsfjorden (Svalbard), during July-August 2016. PANGAEA, https://doi.org/10.1594/PANGAEA.904171, Supplement to: Cantoni, Carolina; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2020): Glacial drivers of marine biogeochemistry indicate a future shift to more corrosive conditions in an Arctic fjord. Journal of Geophysical Research: Biogeosciences, https://doi.org/10.1029/2020JG005633",Longitude; Latitude; Date/Time; Depth water [m],Event; Sample label (Cruise); Station; Sample label (CTD cast); Elevation [m a.s.l.]; Press [dbar]; Cond [mS/cm]; Sigma-theta [kg/m**3]; LONGITUDE; LATITUDE; DATE/TIME; DEPTH
50,2024-02-06,None,10.1594/PANGAEA.904171,https://doi.org/10.1594/PANGAEA.904168,"Cantoni, Carolina; Hopwood, Mark James; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2019): Hydrological, biogeochemical and carbonate system data in coastal waters and in glacier drainage systems in Kongsfjorden (Svalbard), during July-August 2016. PANGAEA, https://doi.org/10.1594/PANGAEA.904171, Supplement to: Cantoni, Carolina; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2020): Glacial drivers of marine biogeochemistry indicate a future shift to more corrosive conditions in an Arctic fjord. Journal of Geophysical Research: Biogeosciences, https://doi.org/10.1029/2020JG005633",Longitude; Latitude; Date/time start; Depth water [m],Sample label; Station; Date/time end; Cond [mS/cm]; Density [kg/m**3]; Sigma-theta [kg/m**3]; DOC [µmol/l]; TDN [µmol/l]; DIC [µmol/kg]; Comment
51,2024-02-06,None,10.1594/PANGAEA.924281,https://doi.org/10.1594/PANGAEA.924281,"Cantoni, Carolina; Hopwood, Mark James; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2020): Hydrological, biogeochemical and carbonate system data in coastal waters and in glacier drainage systems in Kongsfjorden (Svalbard), during July-August 2016: CTD profiles. PANGAEA, https://doi.org/10.1594/PANGAEA.924281, In supplement to: Cantoni, Carolina; Clarke, Jennifer; Chiggiato, Jacopo; Achterberg, Eric Pieter; Cozzi, Stefano (2020): Glacial drivers of marine biogeochemistry indicate a future shift to more corrosive conditions in an Arctic fjord. Journal of Geophysical Research: Biogeosciences, https://doi.org/10.1029/2020JG005633",Longitude; Latitude; Date/Time; Depth water [m],Event; Sample label (Cruise); Station; Sample label (CTD cast); Elevation [m a.s.l.]; Press [dbar]; Cond [mS/cm]; Sigma-theta [kg/m**3]; LONGITUDE; LATITUDE; DATE/TIME; DEPTH
52,2024-02-06,Spatial data not in any site bbox,10.1594/PANGAEA.773951,https://doi.org/10.1594/PANGAEA.773949,"Casey, Kimberly A (2012): Geochemical composition of surface snow, ice and debris from glaciers in Norway, Nepal and New Zealand. PANGAEA, https://doi.org/10.1594/PANGAEA.773951, Supplement to: Casey, KA (in review): Supraglacial dust and debris: geochemical compositions from glaciers in Svalbard, southern Norway, Nepal and New Zealand. Earth System Science Data Discussions, 5(1), 107-145, https://doi.org/10.5194/essdd-5-107-2012",NA,NA
